"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMPAGE","25_54","PC_AGE","A","2014",78.79925,
"AUS","EMPAGE","25_54","PC_AGE","A","2015",79.30939,
"AUS","EMPAGE","25_54","PC_AGE","A","2016",79.68585,
"AUS","EMPAGE","25_54","PC_AGE","A","2017",80.22545,
"AUS","EMPAGE","25_54","PC_AGE","A","2018",80.96902,
"AUT","EMPAGE","25_54","PC_AGE","A","2014",83.45,
"AUT","EMPAGE","25_54","PC_AGE","A","2015",83.475,
"AUT","EMPAGE","25_54","PC_AGE","A","2016",83.575,
"AUT","EMPAGE","25_54","PC_AGE","A","2017",84.1,
"AUT","EMPAGE","25_54","PC_AGE","A","2018",84.55,
"BEL","EMPAGE","25_54","PC_AGE","A","2014",79.125,
"BEL","EMPAGE","25_54","PC_AGE","A","2015",78.525,
"BEL","EMPAGE","25_54","PC_AGE","A","2016",79.075,"B"
"BEL","EMPAGE","25_54","PC_AGE","A","2017",79.525,
"BEL","EMPAGE","25_54","PC_AGE","A","2018",80.4,
"CAN","EMPAGE","25_54","PC_AGE","A","2014",81.24167,
"CAN","EMPAGE","25_54","PC_AGE","A","2015",81.38333,
"CAN","EMPAGE","25_54","PC_AGE","A","2016",81.36667,
"CAN","EMPAGE","25_54","PC_AGE","A","2017",82.26667,
"CAN","EMPAGE","25_54","PC_AGE","A","2018",82.69167,
"CZE","EMPAGE","25_54","PC_AGE","A","2014",83.825,
"CZE","EMPAGE","25_54","PC_AGE","A","2015",84.5,
"CZE","EMPAGE","25_54","PC_AGE","A","2016",85.725,
"CZE","EMPAGE","25_54","PC_AGE","A","2017",86.675,
"CZE","EMPAGE","25_54","PC_AGE","A","2018",87.45,
"DNK","EMPAGE","25_54","PC_AGE","A","2014",81.95,
"DNK","EMPAGE","25_54","PC_AGE","A","2015",82.175,"B"
"DNK","EMPAGE","25_54","PC_AGE","A","2016",82.525,"B"
"DNK","EMPAGE","25_54","PC_AGE","A","2017",81.675,
"DNK","EMPAGE","25_54","PC_AGE","A","2018",82.675,
"FIN","EMPAGE","25_54","PC_AGE","A","2014",80.475,
"FIN","EMPAGE","25_54","PC_AGE","A","2015",79.95,
"FIN","EMPAGE","25_54","PC_AGE","A","2016",79.925,
"FIN","EMPAGE","25_54","PC_AGE","A","2017",80.625,
"FIN","EMPAGE","25_54","PC_AGE","A","2018",82.45,
"FRA","EMPAGE","25_54","PC_AGE","A","2014",79.8,
"FRA","EMPAGE","25_54","PC_AGE","A","2015",79.375,
"FRA","EMPAGE","25_54","PC_AGE","A","2016",79.7,
"FRA","EMPAGE","25_54","PC_AGE","A","2017",80,
"FRA","EMPAGE","25_54","PC_AGE","A","2018",80.575,
"DEU","EMPAGE","25_54","PC_AGE","A","2014",83.475,
"DEU","EMPAGE","25_54","PC_AGE","A","2015",83.725,
"DEU","EMPAGE","25_54","PC_AGE","A","2016",83.925,
"DEU","EMPAGE","25_54","PC_AGE","A","2017",84.225,
"DEU","EMPAGE","25_54","PC_AGE","A","2018",84.85,
"GRC","EMPAGE","25_54","PC_AGE","A","2014",62.4,
"GRC","EMPAGE","25_54","PC_AGE","A","2015",64.5,
"GRC","EMPAGE","25_54","PC_AGE","A","2016",65.975,
"GRC","EMPAGE","25_54","PC_AGE","A","2017",67.375,
"GRC","EMPAGE","25_54","PC_AGE","A","2018",68.95,
"HUN","EMPAGE","25_54","PC_AGE","A","2014",79.25,
"HUN","EMPAGE","25_54","PC_AGE","A","2015",80.625,
"HUN","EMPAGE","25_54","PC_AGE","A","2016",82.2,
"HUN","EMPAGE","25_54","PC_AGE","A","2017",83.65,
"HUN","EMPAGE","25_54","PC_AGE","A","2018",84.075,
"ISL","EMPAGE","25_54","PC_AGE","A","2014",86.4,
"ISL","EMPAGE","25_54","PC_AGE","A","2015",88.35,
"ISL","EMPAGE","25_54","PC_AGE","A","2016",89.85,
"ISL","EMPAGE","25_54","PC_AGE","A","2017",89.825,
"ISL","EMPAGE","25_54","PC_AGE","A","2018",89.1,
"IRL","EMPAGE","25_54","PC_AGE","A","2014",73.1,
"IRL","EMPAGE","25_54","PC_AGE","A","2015",74.675,
"IRL","EMPAGE","25_54","PC_AGE","A","2016",75.85,
"IRL","EMPAGE","25_54","PC_AGE","A","2017",78.025,"B"
"IRL","EMPAGE","25_54","PC_AGE","A","2018",79.175,
"ITA","EMPAGE","25_54","PC_AGE","A","2014",67.85,
"ITA","EMPAGE","25_54","PC_AGE","A","2015",68.2,
"ITA","EMPAGE","25_54","PC_AGE","A","2016",68.85,
"ITA","EMPAGE","25_54","PC_AGE","A","2017",69.425,
"ITA","EMPAGE","25_54","PC_AGE","A","2018",69.825,
"JPN","EMPAGE","25_54","PC_AGE","A","2014",82.20342,
"JPN","EMPAGE","25_54","PC_AGE","A","2015",82.64993,
"JPN","EMPAGE","25_54","PC_AGE","A","2016",83.42662,
"JPN","EMPAGE","25_54","PC_AGE","A","2017",84.18684,
"JPN","EMPAGE","25_54","PC_AGE","A","2018",85.28494,
"KOR","EMPAGE","25_54","PC_AGE","A","2014",75.76822,
"KOR","EMPAGE","25_54","PC_AGE","A","2015",75.98916,
"KOR","EMPAGE","25_54","PC_AGE","A","2016",76.16335,
"KOR","EMPAGE","25_54","PC_AGE","A","2017",76.34902,
"KOR","EMPAGE","25_54","PC_AGE","A","2018",76.42686,
"LUX","EMPAGE","25_54","PC_AGE","A","2014",83.75,"B"
"LUX","EMPAGE","25_54","PC_AGE","A","2015",82.6,
"LUX","EMPAGE","25_54","PC_AGE","A","2016",82.525,
"LUX","EMPAGE","25_54","PC_AGE","A","2017",83.65,
"LUX","EMPAGE","25_54","PC_AGE","A","2018",83.925,
