"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMPAGE","55_64","PC_AGE","A","2014",61.41941,
"AUS","EMPAGE","55_64","PC_AGE","A","2015",62.11502,
"AUS","EMPAGE","55_64","PC_AGE","A","2016",62.46673,
"AUS","EMPAGE","55_64","PC_AGE","A","2017",63.58595,
"AUS","EMPAGE","55_64","PC_AGE","A","2018",63.81215,
"AUT","EMPAGE","55_64","PC_AGE","A","2014",45.1,
"AUT","EMPAGE","55_64","PC_AGE","A","2015",46.275,
"AUT","EMPAGE","55_64","PC_AGE","A","2016",49.175,
"AUT","EMPAGE","55_64","PC_AGE","A","2017",51.275,
"AUT","EMPAGE","55_64","PC_AGE","A","2018",53.975,
"BEL","EMPAGE","55_64","PC_AGE","A","2014",42.675,
"BEL","EMPAGE","55_64","PC_AGE","A","2015",44.025,
"BEL","EMPAGE","55_64","PC_AGE","A","2016",45.425,"B"
"BEL","EMPAGE","55_64","PC_AGE","A","2017",48.225,
"BEL","EMPAGE","55_64","PC_AGE","A","2018",50.35,
"CAN","EMPAGE","55_64","PC_AGE","A","2014",60.43176,
"CAN","EMPAGE","55_64","PC_AGE","A","2015",60.8651,
"CAN","EMPAGE","55_64","PC_AGE","A","2016",61.63015,
"CAN","EMPAGE","55_64","PC_AGE","A","2017",62.19171,
"CAN","EMPAGE","55_64","PC_AGE","A","2018",62.94473,
"CZE","EMPAGE","55_64","PC_AGE","A","2014",54,
"CZE","EMPAGE","55_64","PC_AGE","A","2015",55.45,
"CZE","EMPAGE","55_64","PC_AGE","A","2016",58.525,
"CZE","EMPAGE","55_64","PC_AGE","A","2017",62.125,
"CZE","EMPAGE","55_64","PC_AGE","A","2018",65.125,
"DNK","EMPAGE","55_64","PC_AGE","A","2014",63.225,
"DNK","EMPAGE","55_64","PC_AGE","A","2015",64.675,"B"
"DNK","EMPAGE","55_64","PC_AGE","A","2016",67.75,"B"
"DNK","EMPAGE","55_64","PC_AGE","A","2017",68.95,
"DNK","EMPAGE","55_64","PC_AGE","A","2018",70.675,
"FIN","EMPAGE","55_64","PC_AGE","A","2014",59.125,
"FIN","EMPAGE","55_64","PC_AGE","A","2015",59.975,
"FIN","EMPAGE","55_64","PC_AGE","A","2016",61.4,
"FIN","EMPAGE","55_64","PC_AGE","A","2017",62.55,
"FIN","EMPAGE","55_64","PC_AGE","A","2018",65.425,
"FRA","EMPAGE","55_64","PC_AGE","A","2014",46.925,
"FRA","EMPAGE","55_64","PC_AGE","A","2015",48.725,
"FRA","EMPAGE","55_64","PC_AGE","A","2016",49.8,
"FRA","EMPAGE","55_64","PC_AGE","A","2017",51.275,
"FRA","EMPAGE","55_64","PC_AGE","A","2018",52.15,
"DEU","EMPAGE","55_64","PC_AGE","A","2014",65.55,
"DEU","EMPAGE","55_64","PC_AGE","A","2015",66.175,
"DEU","EMPAGE","55_64","PC_AGE","A","2016",68.575,
"DEU","EMPAGE","55_64","PC_AGE","A","2017",70.15,
"DEU","EMPAGE","55_64","PC_AGE","A","2018",71.425,
"GRC","EMPAGE","55_64","PC_AGE","A","2014",34.05,
"GRC","EMPAGE","55_64","PC_AGE","A","2015",34.325,
"GRC","EMPAGE","55_64","PC_AGE","A","2016",36.3,
"GRC","EMPAGE","55_64","PC_AGE","A","2017",38.25,
"GRC","EMPAGE","55_64","PC_AGE","A","2018",41.05,
"HUN","EMPAGE","55_64","PC_AGE","A","2014",41.75,
"HUN","EMPAGE","55_64","PC_AGE","A","2015",45.3,
"HUN","EMPAGE","55_64","PC_AGE","A","2016",49.85,
"HUN","EMPAGE","55_64","PC_AGE","A","2017",51.675,
"HUN","EMPAGE","55_64","PC_AGE","A","2018",54.4,
"ISL","EMPAGE","55_64","PC_AGE","A","2014",84.8,
"ISL","EMPAGE","55_64","PC_AGE","A","2015",84.725,
"ISL","EMPAGE","55_64","PC_AGE","A","2016",84.575,
"ISL","EMPAGE","55_64","PC_AGE","A","2017",83.875,
"ISL","EMPAGE","55_64","PC_AGE","A","2018",80.725,
"IRL","EMPAGE","55_64","PC_AGE","A","2014",52.625,
"IRL","EMPAGE","55_64","PC_AGE","A","2015",55.4,
"IRL","EMPAGE","55_64","PC_AGE","A","2016",56.75,
"IRL","EMPAGE","55_64","PC_AGE","A","2017",58.375,"B"
"IRL","EMPAGE","55_64","PC_AGE","A","2018",60.375,
"ITA","EMPAGE","55_64","PC_AGE","A","2014",46.225,
"ITA","EMPAGE","55_64","PC_AGE","A","2015",48.25,
"ITA","EMPAGE","55_64","PC_AGE","A","2016",50.325,
"ITA","EMPAGE","55_64","PC_AGE","A","2017",52.225,
"ITA","EMPAGE","55_64","PC_AGE","A","2018",53.7,
"JPN","EMPAGE","55_64","PC_AGE","A","2014",68.72202,
"JPN","EMPAGE","55_64","PC_AGE","A","2015",70.14188,
"JPN","EMPAGE","55_64","PC_AGE","A","2016",71.56203,
"JPN","EMPAGE","55_64","PC_AGE","A","2017",73.44222,
"JPN","EMPAGE","55_64","PC_AGE","A","2018",75.26824,
"KOR","EMPAGE","55_64","PC_AGE","A","2014",65.74533,
"KOR","EMPAGE","55_64","PC_AGE","A","2015",65.99236,
"KOR","EMPAGE","55_64","PC_AGE","A","2016",66.16142,
"KOR","EMPAGE","55_64","PC_AGE","A","2017",67.44261,
